timestamp,run_id,prompt_version,model,thinking,article_id,input_tokens,output_tokens,duration_seconds,status,fallback_used,validation_error
2026-05-22T01:33:15.682324+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240624050000-918,1606,587,11.815,ok,False,
2026-05-22T01:33:15.256814+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240620073000-463,1601,688,14.08,ok,False,
2026-05-22T01:33:15.275243+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240223130000-210,1613,625,14.577,ok,False,
2026-05-22T01:33:07.635293+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240626031500-334,1639,997,24.135,ok,False,
2026-05-22T01:33:22.668854+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240518181500-350,1577,564,10.985,ok,False,
2026-05-22T01:33:29.337754+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240517140000-872,1615,525,8.945,ok,False,
2026-05-22T01:33:29.853570+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240520114500-847,1585,617,9.743,ok,False,
2026-05-22T01:33:31.771686+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240508213000-451,1641,800,8.597,ok,False,
2026-05-22T01:33:27.498364+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240520101500-1164,1571,1024,16.546,parse_error,False,Unterminated string starting at: line 5 column 16 (char 98)
2026-05-22T01:33:24.031180+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240520151500-1380,1639,620,21.346,ok,False,
2026-05-22T01:33:39.597754+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240502100000-1223,1594,657,5.925,ok,False,
2026-05-22T01:33:25.509800+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240520151500-270,1642,984,23.987,ok,False,
2026-05-22T01:33:06.325307+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240622123000-19,1578,826,43.976,ok,False,
2026-05-22T01:33:40.369605+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240508180000-2095,1538,652,10.707,ok,False,
2026-05-22T01:33:33.654433+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240506151500-831,1594,467,17.436,ok,False,
2026-05-22T01:33:45.523848+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240524163000-678,1610,532,8.846,ok,False,
2026-05-22T01:33:38.284235+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240507063000-270,1627,694,16.439,ok,False,
2026-05-22T01:33:45.378740+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240514154500-1256,1531,779,12.186,ok,False,
2026-05-22T01:33:49.498008+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240531070000-642,1595,523,8.276,ok,False,
2026-05-22T01:33:51.077198+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240528200000-439,1616,529,9.029,ok,False,
2026-05-22T01:33:54.370762+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240527074500-1089,1627,383,6.503,ok,False,
2026-05-22T01:33:50.302249+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240526154500-389,1503,624,13.513,ok,False,
2026-05-22T01:33:51.091168+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240529161500-1430,1563,616,14.51,ok,False,
2026-05-22T01:33:57.565980+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240616180000-576,1638,538,10.084,ok,False,
